country_iso_3166_code,co2_emission_factor,co2_emission_factor_units,ch4_emission_factor,ch4_emission_factor_units,n2o_emission_factor,n2o_emission_factor_units,loss_factor,source,source_detail,source_url
DZ,0.66420926,kilograms_per_kilowatt_hour,0.0000122,kilograms_per_kilowatt_hour,0.0000013,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
EC,0.269613843,kilograms_per_kilowatt_hour,0.00000959,kilograms_per_kilowatt_hour,0.00000183,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
EE,1.906907035,kilograms_per_kilowatt_hour,0.0000196,kilograms_per_kilowatt_hour,0.0000284,kilograms_per_kilowatt_hour,0.152,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
EG,0.500886095,kilograms_per_kilowatt_hour,0.0000116,kilograms_per_kilowatt_hour,0.00000165,kilograms_per_kilowatt_hour,0.127,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
ER,0.677991638,kilograms_per_kilowatt_hour,0.0000265,kilograms_per_kilowatt_hour,0.0000053,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
ES,0.34287509,kilograms_per_kilowatt_hour,0.00000553,kilograms_per_kilowatt_hour,0.00000307,kilograms_per_kilowatt_hour,0.071,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
ET,0.118948451,kilograms_per_kilowatt_hour,0.00000482,kilograms_per_kilowatt_hour,0.000000963,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
FI,0.225457295,kilograms_per_kilowatt_hour,0.00000261,kilograms_per_kilowatt_hour,0.00000243,kilograms_per_kilowatt_hour,0.044,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
FR,0.070927465,kilograms_per_kilowatt_hour,0.00000101,kilograms_per_kilowatt_hour,0.000000649,kilograms_per_kilowatt_hour,0.063,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GA,0.425188882,kilograms_per_kilowatt_hour,0.0000122,kilograms_per_kilowatt_hour,0.00000205,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GB,0.508501975,kilograms_per_kilowatt_hour,0.00000675,kilograms_per_kilowatt_hour,0.00000512,kilograms_per_kilowatt_hour,0.073,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GE,0.089456936,kilograms_per_kilowatt_hour,0.00000159,kilograms_per_kilowatt_hour,0.000000159,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GH,0.214767509,kilograms_per_kilowatt_hour,0.00000879,kilograms_per_kilowatt_hour,0.00000176,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GI,0.772321446,kilograms_per_kilowatt_hour,0.0000299,kilograms_per_kilowatt_hour,0.00000599,kilograms_per_kilowatt_hour,0,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GR,1.921092777,kilograms_per_kilowatt_hour,0.0000233,kilograms_per_kilowatt_hour,0.0000269,kilograms_per_kilowatt_hour,0.088,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
GT,0.341534936,kilograms_per_kilowatt_hour,0.00000968,kilograms_per_kilowatt_hour,0.00000367,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
HK,0.786680632,kilograms_per_kilowatt_hour,0.00000956,kilograms_per_kilowatt_hour,0.0000102,kilograms_per_kilowatt_hour,0.107,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
HN,0.415487352,kilograms_per_kilowatt_hour,0.0000161,kilograms_per_kilowatt_hour,0.00000323,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
HR,0.386458364,kilograms_per_kilowatt_hour,0.00000784,kilograms_per_kilowatt_hour,0.00000392,kilograms_per_kilowatt_hour,0.122,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
HT,0.483325309,kilograms_per_kilowatt_hour,0.0000194,kilograms_per_kilowatt_hour,0.00000388,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
HU,0.589672564,kilograms_per_kilowatt_hour,0.0000074,kilograms_per_kilowatt_hour,0.0000063,kilograms_per_kilowatt_hour,0.075,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
ID,0.684693977,kilograms_per_kilowatt_hour,0.0000141,kilograms_per_kilowatt_hour,0.00000775,kilograms_per_kilowatt_hour,0.116,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IE,0.521193132,kilograms_per_kilowatt_hour,0.00000818,kilograms_per_kilowatt_hour,0.00000441,kilograms_per_kilowatt_hour,0.079,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IL,0.740303524,kilograms_per_kilowatt_hour,0.0000108,kilograms_per_kilowatt_hour,0.00000966,kilograms_per_kilowatt_hour,0.03,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IN,1.333174843,kilograms_per_kilowatt_hour,0.0000155,kilograms_per_kilowatt_hour,0.0000201,kilograms_per_kilowatt_hour,0.26,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IQ,0.820614626,kilograms_per_kilowatt_hour,0.0000323,kilograms_per_kilowatt_hour,0.00000646,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IR,0.631113877,kilograms_per_kilowatt_hour,0.000015,kilograms_per_kilowatt_hour,0.0000022,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IS,0.000193484,kilograms_per_kilowatt_hour,7.83E-09,kilograms_per_kilowatt_hour,1.57E-09,kilograms_per_kilowatt_hour,0.061,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
IT,0.410898038,kilograms_per_kilowatt_hour,0.00000708,kilograms_per_kilowatt_hour,0.00000281,kilograms_per_kilowatt_hour,0.056,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
